Tasks Nq=Nc Boxes Until_saving_points Until_finding_min

32 2097152 4096 14.241823 29.742754

32 2097152 8192 11.590636 20.003677

32 4194304 8192 20.450832 61.497207

32 4194304 16384 22.634629 43.756350

32 8388608 8192 38.129835 163.920955

32 8388608 16384 38.935807 122.973142

32 16777216 8192 74.684831 652.503723

32 16777216 16384 74.912786 353.751507

32 16777216 32768 74.401525 240.510760
