Tasks Nq=Nc Boxes Until_saving_points Until_finding_min

4 2097152 4096 4.944669 148.150180

4 2097152 8192 5.029801 78.372587

4 2097152 16384 4.806439 43.371572

4 2097152 32768 3.581437 

4 4194304 4096 12.889609 585.089442

4 4194304 8192 13.093029 303.810295

4 4194304 16384 11.919071 162.789124

4 4194304 32768 10.286376 90.100355

4 8388608 4096 39.445471 2320.956123

4 8388608 8192 40.313039 1195.401957

4 8388608 16384 32.436990 627.529706

4 8388608 32768 24.402879 338.074692

4 16777216 4096 128.625061 9230.120216

4 16777216 8192 101.277893 4710.212045

4 16777216 16384 74.523618 2441.536630

4 16777216 32768 63.544105 1305.040148
